"Ingredient ID",4513,11215,11283,11510,11125,16359,12116,9322,11303,11530,11282,11165,9152,28306,1001
"Ingredient Description","Vegetable oil, palm kernel","Garlic, raw","Onions, cooked, boiled, drained, without salt","Sweet potato, cooked, boiled, without skin","Carrots, cooked, boiled, drained, without salt","Chickpeas (garbanzo beans, bengal gram), mature seeds, canned, drained, rinsed in tap water","Nuts, coconut cream, canned, sweetened","Tamarinds, raw","Peas, edible-podded, frozen, cooked, boiled, drained, without salt","Tomatoes, red, ripe, cooked","Onions, raw","Coriander (cilantro) leaves, raw","Lemon juice, raw","Bread, chapati or roti, plain, commercially prepared","Butter, salted"
"Portion size","cup","clove","medium","medium","carrot","100g","cup","cup, pulp","cup","medium","medium (2-1/2"" dia)","cup","lemon yields","piece","tbsp"
"Cholesterol",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,61.06,61.06
"22:1 t",0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0
"Folate, total",0.0,0.18,14.1,18.12,12.88,164.0,70.0626552416,0.34999944,28.0,31.98,20.9,1.24,9.6,248.88,0.8519999999999999,621.1446546816
"Alanine",0.0,0.00792,0.03572,0.20234000000000002,0.08556,1.212,0.300268522464,0,0.0584,0.0738,0.0231,0,0,0,0.008236,2.0073445224640003
"16:1 t",0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0
"Fatty acids, total trans",0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.13872,0.9309519999999999,1.069672
"Phenylalanine",0.0,0.010979999999999998,0.032900000000000006,0.23556000000000002,0.046000000000000006,1.516,0.300268522464,0,0.08960000000000001,0.06888,0.0275,0,0,0,0.011644000000000002,2.339332522464
"Isoleucine",0.0,0.01302,0.04512000000000001,0.14496,0.057960000000000005,1.212,0.23020586722239997,0,0.1616,0.06396,0.0154,0,0,0,0.014483999999999999,1.9587098672224
"16:1 c",0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.03264,0.27292399999999994,0.30556399999999995
"Niacin",0.0,0.041999999999999996,0.15510000000000002,1.62476,0.5934,0.5,0.1901700642272,0.04844992248,0.4503999999999999,1.30872,0.1276,0.02228,0.043680000000000004,27.662399999999998,0.011928000000000001,32.7808879867072
"18:2 CLAs",0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.00816,0.07582799999999999,0.083988
"Thiamin",0.0,0.012000000000000002,0.03948,0.16912,0.06072,0.1,0.11009845823679999,0.010699982879999998,0.0512,0.08856,0.0506,0.00134,0.01152,2.244,0.0014199999999999998,2.9507584411168
"Selenium, Se",0.0,0.8519999999999999,0.564,0.6040000000000001,0.6439999999999999,12.4,27.5246145592,0.032499948,0.64,1.23,0.55,0.018000000000000002,0.04800000000000001,219.09600000000003,0.284,264.48711450720003
"Leucine",0.0,0.01848,0.04512000000000001,0.24462,0.07728,2.012,0.43538935757279995,0,0.2288,0.09594,0.0275,0,0,0,0.023572000000000003,3.2087013575728003
"Vitamin E, added",0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
"Sugars, total",0.0,0.06,4.446200000000001,17.3348,3.1740000000000004,16.0,257.7304817816,1.434997704,3.8560000000000003,6.125400000000001,4.664000000000001,0.0174,1.2096,11.0976,0.01704,327.16751948560005
"Cystine",0.0,0.0039000000000000003,0.022560000000000004,0.057379999999999994,0.06256,0.384,0.11510293361119998,0,0.032,0.03444,0.0044,0,0,0,0.0022719999999999997,0.7186149336112
"Tyrosine",0.0,0.00486,0.03196,0.0906,0.0322,0.704,0.1801611134784,0,0.0984,0.04428,0.0154,0,0,0,0.011644000000000002,1.2135051134784
"Vitamin C, total ascorbic acid",0.0,1.8719999999999999,4.888,38.656000000000006,3.312,0.4,0.0,0.08749986,17.6,56.088,8.14,0.54,18.576,0,0.0,150.15949985999998
